binder_id,target_id,binder,source,A_length,af3_ipSAE_min,af3_ipSAE_max,af3_ipSAE_avg,af3_LIS,af3_iptm_avg,af3_iptm_model_0,af3_ptm_avg,af3_ipae,af3_min_pae_contact,af3_pDockQ_min,af3_pDockQ2_max,RMSD_chA_aft_chB_align_input_af3,RMSD_complex_input_af3,af3_rosetta_interface_dG,af3_rosetta_interface_dG_SASA_ratio,af3_rosetta_interface_dSASA,af3_rosetta_interface_sc,af3_rosetta_interface_packstat,af3_rosetta_surface_hydrophobicity,af3_rosetta_interface_interface_hbonds,input_rosetta_interface_sc,input_rosetta_interface_dG,input_rosetta_interface_dG_SASA_ratio,input_rosetta_interface_dSASA,input_rosetta_interface_packstat,af3_pymol_delta_SASA,af3_pymol_percent_nonpolar,af3_pymol_hbonds,af3_pymol_num_interface_residues
rif_fastrot_d0d27a57e4302dd0dd5ebafbde421892_0001_1_000000004_0001,FGFR2,0,Cao et al FGFR2,65.0,0.016,0.051,0.013,0.136,0.32,0.41,0.63,13.716,25.0,0.109,0.062,19.56,24.13,-30.15,-2.27,1326.89,0.65,0.65,0.23,2.0,0.7,-58.4,-3.59,1627.51,0.69,773.468,45.714,2.0,35.0
rif_fastrot_ems_ferrM_1916_000000003_0001_0001,FGFR2,0,Cao et al FGFR2,64.0,0.197,0.217,0.114,0.314,0.54,0.58,0.72,9.321,3.2,0.221,0.141,24.65,25.15,-43.79,-2.55,1715.48,0.69,0.69,0.18,2.0,0.7,-55.01,-3.31,1661.36,0.71,902.325,52.174,2.0,46.0
rif_fastrot_ems_ferrM_7241_0002_000000011_0001_0001,FGFR2,0,Cao et al FGFR2,64.0,0.148,0.18,0.086,0.281,0.44,0.53,0.68,10.337,4.0,0.166,0.136,21.84,26.0,-43.77,-2.94,1491.35,0.67,0.62,0.26,3.0,0.64,-55.09,-3.36,1638.48,0.63,824.508,46.512,3.0,43.0
rif_normal_0755cb22fba3374d81eace318e53680c_0001_000000001_0001_0001,FGFR2,0,Cao et al FGFR2,65.0,0.152,0.16,0.078,0.29,0.5,0.52,0.7,10.531,3.8,0.162,0.127,3.47,2.79,-39.02,-3.04,1281.51,0.71,0.59,0.07,2.0,0.7,-47.99,-3.02,1586.71,0.62,814.963,51.163,2.0,43.0
rif_normal_EHEE_hb1_1671_000000029_0001_0001,FGFR2,0,Cao et al FGFR2,65.0,0.013,0.013,0.012,0.073,0.21,0.25,0.58,17.472,25.0,0.091,0.019,29.3,33.09,-35.97,-2.43,1478.28,0.59,0.62,0.17,0.0,0.79,-64.1,-3.23,1983.4,0.68,936.316,40.0,4.0,45.0
rif_normal_EHEE_hb1_2125_000000012_1_0001_0001,FGFR2,0,Cao et al FGFR2,65.0,0.014,0.015,0.013,0.122,0.23,0.33,0.6,15.485,25.0,0.099,0.041,22.16,27.21,-36.49,-2.72,1343.92,0.62,0.71,0.17,1.0,0.7,-44.98,-2.55,1764.56,0.63,731.902,58.333,1.0,36.0
rif_normal_EHEE_hb1_309_000000001_0001_0001,FGFR2,0,Cao et al FGFR2,65.0,0.019,0.033,0.015,0.161,0.38,0.41,0.65,13.177,25.0,0.222,0.049,23.82,26.32,-39.22,-2.26,1736.96,0.47,0.55,0.21,3.0,0.7,-56.28,-3.06,1839.1,0.63,978.025,47.917,2.0,48.0
rif_normal_EHEE_hb1_440_000000003_0001_0001,FGFR2,0,Cao et al FGFR2,65.0,0.0,0.0,0.0,0.0,0.2,0.23,0.57,18.936,25.0,0.0,0.0,27.95,25.8,-57.67,-2.89,1998.77,0.66,0.59,0.21,5.0,0.7,-44.29,-2.73,1620.76,0.74,1154.485,46.552,6.0,58.0
rif_normal_EHEE_hb1_6238_000000029_0001_0001,FGFR2,0,Cao et al FGFR2,65.0,0.061,0.106,0.028,0.226,0.41,0.45,0.67,12.223,5.4,0.135,0.08,16.17,9.47,-36.62,-2.16,1699.26,0.67,0.63,0.12,1.0,0.73,-54.07,-3.1,1743.72,0.66,829.542,48.889,2.0,45.0
rif_normal_EHEE_hb1_6639_000000000_0001_0001,FGFR2,0,Cao et al FGFR2,65.0,0.016,0.016,0.014,0.145,0.29,0.31,0.61,15.812,25.0,0.109,0.032,20.86,28.25,-47.29,-3.2,1479.85,0.71,0.6,0.17,4.0,0.72,-59.19,-3.31,1786.78,0.67,758.933,52.273,0.0,44.0
rif_normal_ems_3hM_487_000000001_0001_0001,FGFR2,0,Cao et al FGFR2,62.0,0.017,0.036,0.014,0.163,0.28,0.37,0.63,13.668,25.0,0.096,0.066,20.71,21.63,-38.71,-2.92,1324.83,0.53,0.6,0.09,3.0,0.76,-56.23,-3.51,1601.67,0.61,788.095,48.649,1.0,37.0
rif_normal_ems_ferrM_6930_0001_000000002_0001_0001,FGFR2,0,Cao et al FGFR2,60.0,0.0,0.0,0.0,0.0,0.16,0.16,0.57,21.995,25.0,0.0,0.0,23.25,22.4,-32.15,-2.42,1327.07,0.58,0.72,0.12,4.0,0.76,-55.38,-3.3,1678.48,0.64,749.948,40.0,5.0,40.0
rif_normal_proteinG_2817_000000008_0001_0001,FGFR2,0,Cao et al FGFR2,57.0,0.441,0.528,0.21,0.435,0.73,0.75,0.81,7.558,1.4,0.208,0.335,18.63,30.4,-40.05,-2.73,1468.74,0.64,0.59,0.39,1.0,0.7,-56.15,-3.14,1789.82,0.64,806.324,47.619,2.0,42.0
theraven_sequence45,EGFR,0,Adaptyv binder comp round 1,71.0,0.448,0.62,0.213,0.394,0.89,0.89,0.7,13.638,2.2,0.473,0.634,44.92,38.39,-62.53,-3.1,2017.65,0.76,0.66,0.17,6.0,0.58,-32.72,-1.56,2098.16,0.57,1123.609,50.877,9.0,57.0
theraven_sequence50,EGFR,0,Adaptyv binder comp round 1,71.0,0.399,0.6,0.198,0.393,0.87,0.87,0.7,14.026,2.1,0.459,0.591,49.48,47.86,-60.69,-2.96,2050.05,0.68,0.68,0.17,3.0,0.51,-25.29,-1.83,1383.54,0.59,1154.398,48.214,6.0,56.0
v_tararina_binder_3,EGFR,0,Adaptyv binder comp round 1,86.0,0.428,0.58,0.233,0.381,0.86,0.86,0.67,15.618,2.5,0.487,0.522,38.71,43.71,-52.92,-2.11,2507.54,0.55,0.55,0.31,6.0,0.55,-55.36,-1.91,2896.27,0.58,1411.844,48.611,8.0,72.0
x_rustamov_m_11_0,EGFR,0,Adaptyv binder comp round 1,100.0,0.56,0.653,0.302,0.433,0.89,0.89,0.68,14.942,1.9,0.547,0.624,39.27,45.97,-71.36,-2.48,2879.84,0.59,0.65,0.22,12.0,0.51,-69.67,-1.85,3774.97,0.62,1657.926,34.667,12.0,75.0
zalavi_egfr_binder8,EGFR,0,Adaptyv binder comp round 1,56.0,0.0,0.0,0.0,0.0,0.23,0.26,0.58,27.192,25.0,0.0,0.0,74.69,67.32,-38.78,-2.55,1520.87,0.58,0.67,0.24,4.0,0.66,-58.61,-2.5,2346.17,0.59,851.5,42.553,8.0,47.0
zalavi_zalavi3_mergedaltered_rustamov,EGFR,0,Adaptyv binder comp round 2,244.0,0.291,0.465,0.162,0.252,0.58,0.58,0.56,17.918,3.1,0.632,0.296,66.41,52.95,-102.2,-2.1,4856.89,0.55,0.64,0.16,21.0,0.61,-72.29,-2.21,3265.22,0.61,2649.262,32.609,23.0,138.0
2bnr_11_6_2_13,pMHC_NY1,0,pMHC screening NY1,116.0,0.584,0.807,0.378,0.704,0.94,0.94,0.95,4.181,1.1,0.332,0.907,1.29,1.69,-63.37,-2.29,2768.33,0.58,0.59,0.19,10.0,0.61,-61.14,-2.13,2869.84,0.64,1411.396,44.444,9.0,63.0
2bnr_24_88_2_17,pMHC_NY1,0,pMHC screening NY1,114.0,0.436,0.661,0.279,0.598,0.91,0.92,0.93,5.432,1.6,0.382,0.789,1.32,1.34,-57.6,-2.41,2393.71,0.66,0.67,0.36,4.0,0.64,-61.29,-2.34,2624.65,0.67,1349.518,44.928,9.0,69.0
2bnr_27_7_3_9_temp001_dldesign_156_af2pred,pMHC_NY1,0,pMHC screening NY2,145.0,0.599,0.833,0.391,0.674,0.94,0.94,0.95,4.328,1.0,0.442,0.918,0.97,1.24,-61.91,-2.29,2707.94,0.57,0.68,0.19,11.0,0.59,-67.43,-2.32,2912.39,0.69,1524.795,41.096,15.0,73.0
2bnr_27_7_3_9_temp001_dldesign_183_af2pred,pMHC_NY1,0,pMHC screening NY2,145.0,0.629,0.861,0.418,0.702,0.95,0.95,0.95,3.959,0.9,0.461,0.934,0.93,1.37,-78.15,-2.69,2905.87,0.66,0.69,0.34,14.0,0.63,-74.34,-2.51,2959.18,0.72,1477.379,46.479,13.0,71.0
2bnr_9_15_3_23,pMHC_NY1,0,pMHC screening NY1,138.0,0.348,0.55,0.215,0.458,0.87,0.89,0.9,7.056,1.9,0.33,0.645,1.2,1.72,-57.42,-2.07,2772.36,0.56,0.68,0.39,5.0,0.55,-64.57,-2.29,2823.75,0.64,1489.73,44.737,9.0,76.0
AKAP9_binder_11,pMHC_SILSY1,0,pMHC screening SILSY1,124.0,0.5,0.695,0.328,0.564,0.93,0.94,0.94,4.907,1.0,0.429,0.844,1.19,2.05,-68.53,-2.29,2987.33,0.67,0.69,0.13,11.0,0.63,-64.39,-2.16,2980.53,0.65,1561.016,36.986,12.0,73.0
AKAP9_binder_12_renumb_11_dldesign_0_af2pred,pMHC_SILSY1,0,pMHC screening SILSY1,124.0,0.595,0.798,0.383,0.694,0.94,0.95,0.95,3.975,1.0,0.358,0.91,2.95,2.32,-61.35,-2.46,2490.7,0.57,0.61,0.31,14.0,0.49,-57.66,-2.04,2821.27,0.67,1445.076,37.143,8.0,70.0
AKAP9_binder_15,pMHC_SILSY1,1,pMHC screening SILSY1,124.0,0.655,0.84,0.433,0.726,0.95,0.95,0.96,3.576,0.9,0.418,0.939,1.28,1.54,-62.73,-2.27,2758.14,0.57,0.64,0.16,10.0,0.65,-78.32,-2.47,3176.07,0.53,1528.27,40.278,13.0,72.0
AKAP9_binder_19_dldesign_12_af2pred,pMHC_SILSY1,0,pMHC screening SILSY1,146.0,0.646,0.845,0.43,0.715,0.95,0.96,0.95,3.641,0.9,0.42,0.933,0.98,1.24,-83.92,-2.67,3138.8,0.67,0.63,0.39,14.0,0.58,-76.93,-2.46,3123.91,0.57,1557.633,45.349,16.0,86.0
AKAP9_binder_20,pMHC_SILSY1,0,pMHC screening SILSY1,124.0,0.612,0.814,0.389,0.691,0.94,0.94,0.94,4.142,0.9,0.435,0.922,1.13,1.28,-76.75,-2.5,3066.54,0.66,0.61,0.24,13.0,0.63,-78.23,-2.47,3162.91,0.62,1668.898,41.333,11.0,75.0
AKAP9_binder_21_dldesign_9_af2pred,pMHC_SILSY1,0,pMHC screening SILSY1,124.0,0.629,0.84,0.409,0.716,0.95,0.95,0.95,3.749,0.9,0.399,0.928,2.51,3.65,-52.24,-1.82,2869.19,0.56,0.53,0.16,9.0,0.66,-63.32,-2.22,2858.11,0.64,1542.635,30.882,15.0,68.0
EEHEE_10109_000000013_0001,VirB8,0,Cao et al VirB8,65.0,0.324,0.327,0.159,0.304,0.65,0.69,0.83,8.555,2.9,0.289,0.376,48.78,25.02,-43.06,-3.14,1372.47,0.74,0.71,0.25,1.0,0.68,-57.61,-3.86,1492.11,0.67,778.774,51.282,3.0,39.0
EEHEE_12482_000000025_0001,VirB8,0,Cao et al VirB8,65.0,0.013,0.015,0.012,0.068,0.28,0.29,0.7,18.393,25.0,0.045,0.027,3.27,3.86,-37.28,-2.54,1465.94,0.57,0.53,0.19,4.0,0.73,-64.87,-4.05,1602.3,0.72,763.399,52.778,7.0,36.0
EEHEE_22825_000000037_0001,VirB8,1,Cao et al VirB8,65.0,0.042,0.055,0.018,0.183,0.38,0.46,0.73,13.886,5.7,0.089,0.05,45.24,22.61,-39.93,-2.5,1598.17,0.5,0.64,0.24,6.0,0.75,-62.66,-3.97,1576.8,0.69,899.679,47.619,6.0,42.0
Grafting_Motif0042_bcov_4helix_06948_0001_0002,FGFR2,0,Cao et al FGFR2,65.0,0.014,0.015,0.013,0.116,0.25,0.27,0.61,16.323,25.0,0.084,0.024,3.44,4.54,-38.64,-2.38,1624.84,0.66,0.65,0.27,1.0,0.63,-47.79,-2.93,1631.33,0.63,845.699,51.22,1.0,41.0
Grafting_Motif0042_ems_4hM_4387_0001_0001,FGFR2,0,Cao et al FGFR2,63.0,0.015,0.021,0.013,0.122,0.29,0.32,0.64,15.188,25.0,0.107,0.04,11.16,18.0,-38.04,-2.54,1500.04,0.62,0.63,0.07,2.0,0.7,-69.54,-3.89,1787.59,0.69,866.916,56.522,3.0,46.0
Grafting_Motif0070_ems_3hM_465_0001_0001,FGFR2,1,Cao et al FGFR2,64.0,0.047,0.071,0.021,0.236,0.36,0.39,0.64,12.487,4.5,0.167,0.059,8.45,9.49,-34.66,-1.98,1748.07,0.59,0.6,0.13,3.0,0.71,-69.95,-3.43,2039.37,0.7,911.305,46.667,0.0,45.0
Grafting_Motif0072_ems_3hM_2299_0001_0002,FGFR2,0,Cao et al FGFR2,61.0,0.015,0.057,0.013,0.138,0.41,0.43,0.67,12.974,25.0,0.145,0.055,18.15,14.55,-52.14,-2.94,1772.0,0.7,0.6,0.18,2.0,0.77,-83.66,-4.47,1872.07,0.68,959.646,55.556,4.0,45.0
Grafting_Motif0072_ems_4hM_2829_0001_0002,FGFR2,0,Cao et al FGFR2,64.0,0.162,0.247,0.102,0.316,0.58,0.59,0.74,9.41,4.3,0.299,0.211,19.32,18.81,-44.24,-2.76,1600.78,0.64,0.66,0.14,6.0,0.69,-59.93,-3.38,1771.49,0.66,830.449,50.0,3.0,44.0
Grafting_Motif0077_bcov_4helix_01177_0001,FGFR2,0,Cao et al FGFR2,65.0,0.505,0.545,0.288,0.598,0.75,0.77,0.8,5.932,1.5,0.277,0.583,3.27,3.07,-50.3,-3.26,1544.16,0.71,0.64,0.19,3.0,0.78,-63.62,-4.01,1588.17,0.69,810.972,50.0,5.0,38.0
Grafting_Motif0111_ems_3hC_123_0002_0001,FGFR2,1,Cao et al FGFR2,63.0,0.017,0.036,0.014,0.169,0.31,0.36,0.63,14.527,25.0,0.128,0.039,21.78,24.66,-41.27,-2.27,1815.63,0.63,0.56,0.17,5.0,0.75,-63.44,-4.21,1505.55,0.69,796.723,57.5,0.0,40.0
Grafting_Motif0176_bcov_4helix_03259_0001,FGFR2,0,Cao et al FGFR2,65.0,0.258,0.281,0.154,0.353,0.62,0.64,0.73,8.909,3.2,0.159,0.327,18.86,19.33,-41.6,-3.0,1385.17,0.63,0.57,0.24,5.0,0.77,-66.24,-3.76,1763.45,0.7,662.104,53.846,6.0,39.0
Grafting_Motif0176_ems_3hM_808_0001,FGFR2,1,Cao et al FGFR2,63.0,0.016,0.019,0.014,0.156,0.28,0.29,0.62,15.274,25.0,0.114,0.038,21.57,23.24,-37.84,-2.25,1681.59,0.57,0.6,0.09,4.0,0.73,-69.37,-3.83,1812.54,0.63,806.876,46.154,3.0,39.0
Grafting_Motif0184_ems_3hM_1078_0001_0002,FGFR2,0,Cao et al FGFR2,61.0,0.018,0.022,0.015,0.183,0.28,0.32,0.62,14.063,25.0,0.098,0.059,23.34,22.46,-36.93,-2.49,1480.21,0.58,0.64,0.17,3.0,0.7,-72.91,-3.58,2036.1,0.7,786.364,45.714,1.0,35.0
Grafting_Motif0253_ems_3hC_1239_0002_0001_0002,FGFR2,0,Cao et al FGFR2,62.0,0.014,0.017,0.013,0.144,0.29,0.29,0.62,15.44,25.0,0.072,0.035,2.47,2.63,-39.14,-2.9,1350.14,0.74,0.6,0.15,1.0,0.75,-58.93,-3.81,1545.67,0.71,711.712,45.455,2.0,33.0
Grafting_Motif0263_ems_3hC_897_0002_0001_0002,FGFR2,1,Cao et al FGFR2,61.0,0.069,0.078,0.019,0.172,0.41,0.41,0.68,12.014,25.0,0.131,0.072,21.67,24.06,-32.87,-2.72,1207.88,0.7,0.59,0.07,4.0,0.69,-67.19,-3.68,1825.26,0.64,698.164,55.263,3.0,38.0
Grafting_Motif0324_ems_3hM_2056_0001,FGFR2,0,Cao et al FGFR2,63.0,0.073,0.074,0.023,0.177,0.34,0.45,0.65,12.902,25.0,0.096,0.07,26.38,23.87,-41.05,-2.65,1550.22,0.64,0.56,0.15,1.0,0.75,-66.75,-3.78,1766.85,0.7,831.564,48.78,3.0,41.0
Grafting_Motif0388_bcov_4helix_06594_0001,FGFR2,0,Cao et al FGFR2,65.0,0.133,0.146,0.075,0.26,0.46,0.47,0.67,10.575,4.1,0.172,0.12,6.3,7.9,-42.01,-2.87,1461.93,0.69,0.63,0.18,4.0,0.75,-59.05,-3.4,1735.33,0.67,744.801,57.895,3.0,38.0
Grafting_Motif0388_ems_3hM_235_0001,FGFR2,0,Cao et al FGFR2,64.0,0.038,0.077,0.016,0.186,0.35,0.37,0.65,12.722,4.5,0.07,0.065,20.46,20.8,-35.77,-2.46,1453.58,0.59,0.57,0.07,5.0,0.74,-74.57,-3.52,2118.64,0.67,687.978,51.429,3.0,35.0
Grafting_Motif0394_p1_15H_GBL_16H_GABBL_16H_0398_0001_0001_0001_0001_0002,FGFR2,0,Cao et al FGFR2,55.0,0.019,0.029,0.016,0.205,0.33,0.34,0.64,13.908,5.2,0.112,0.055,19.79,25.45,-35.76,-2.83,1261.76,0.52,0.63,0.26,2.0,0.76,-62.0,-3.93,1578.03,0.73,667.134,48.571,2.0,35.0
Grafting_Motif0413_p1_14H_GBL_14H_GBL_15H_0164_0001_0001_0002_0001_0002,FGFR2,0,Cao et al FGFR2,49.0,0.126,0.191,0.069,0.298,0.56,0.6,0.75,9.686,3.8,0.198,0.188,19.13,24.55,-42.33,-3.16,1340.72,0.76,0.69,0.2,1.0,0.67,-59.75,-3.55,1684.32,0.65,737.708,48.649,1.0,37.0
Grafting_Motif0413_p1_14H_GBL_16H_GABBL_15H_0072_0001_0001_0002_0001,FGFR2,0,Cao et al FGFR2,53.0,0.016,0.035,0.013,0.147,0.34,0.36,0.65,12.931,5.4,0.097,0.047,8.9,8.59,-42.33,-3.08,1375.55,0.57,0.6,0.14,4.0,0.7,-69.21,-3.8,1822.47,0.61,776.74,47.727,2.0,44.0
Grafting_Motif0666_bcov_4helix_08583_0001,FGFR2,1,Cao et al FGFR2,65.0,0.333,0.374,0.204,0.469,0.67,0.71,0.79,6.956,2.4,0.33,0.418,3.66,4.51,-47.22,-3.12,1515.27,0.61,0.62,0.07,3.0,0.75,-64.33,-3.87,1660.76,0.7,833.745,51.22,5.0,41.0
Grafting_Motif1153_HHH_eva_0727_0001,FGFR2,0,Cao et al FGFR2,53.0,0.015,0.02,0.014,0.148,0.32,0.37,0.65,13.005,25.0,0.076,0.049,18.1,20.19,-30.7,-2.6,1182.16,0.59,0.6,0.15,1.0,0.72,-62.82,-3.68,1705.26,0.68,730.048,51.351,2.0,37.0
Grafting_Motif1153_bcov_4helix_13335_0001,FGFR2,0,Cao et al FGFR2,65.0,0.013,0.027,0.012,0.086,0.3,0.33,0.63,14.683,25.0,0.075,0.035,16.41,28.67,-32.59,-2.24,1456.7,0.55,0.58,0.36,2.0,0.78,-63.98,-3.76,1700.77,0.73,801.872,56.757,1.0,37.0
HEEHE_0510_000000008_0001,FGFR2,1,Cao et al FGFR2,65.0,0.016,0.019,0.014,0.163,0.29,0.3,0.62,14.795,25.0,0.094,0.038,21.5,21.33,-43.79,-2.89,1515.75,0.59,0.63,0.14,3.0,0.76,-76.8,-4.14,1857.41,0.72,698.376,55.263,1.0,38.0
HEEHE_1768_000000008_0001,FGFR2,0,Cao et al FGFR2,65.0,0.215,0.22,0.124,0.296,0.59,0.61,0.73,9.648,3.0,0.178,0.18,18.57,17.84,-50.36,-3.31,1521.54,0.74,0.61,0.13,1.0,0.75,-63.69,-3.5,1820.62,0.64,789.827,53.846,2.0,39.0
HEEHE_1890_000000008_0001,FGFR2,0,Cao et al FGFR2,65.0,0.015,0.018,0.013,0.152,0.29,0.34,0.62,15.006,25.0,0.093,0.039,12.58,12.98,-35.96,-2.76,1303.87,0.6,0.64,0.28,2.0,0.75,-54.31,-3.5,1552.4,0.7,676.045,54.054,2.0,37.0
IL7Ra_binder_AF2_42,IL7Ra,0,IL7Ra Watson et al,51.0,0.617,0.804,0.338,0.683,0.9,0.9,0.91,4.092,1.1,0.3,0.871,1.92,4.37,-36.23,-2.8,1294.09,0.68,0.65,0.13,3.0,0.69,-45.58,-3.32,1373.68,0.58,694.489,48.571,5.0,35.0
IL7Ra_binder_AF2_64,IL7Ra,0,IL7Ra Watson et al,70.0,0.583,0.705,0.34,0.54,0.85,0.85,0.89,5.702,1.3,0.245,0.675,1.47,1.55,-47.69,-2.77,1720.94,0.58,0.62,0.09,5.0,0.69,-48.72,-3.2,1524.56,0.65,992.263,46.809,6.0,47.0
IL7Ra_binder_AF2_70,IL7Ra,1,IL7Ra Watson et al,65.0,0.67,0.76,0.366,0.609,0.89,0.89,0.9,5.192,1.0,0.26,0.867,1.58,1.33,-39.87,-3.01,1322.66,0.61,0.71,0.23,4.0,0.61,-43.63,-3.08,1414.5,0.67,733.686,45.714,7.0,35.0
IL7Ra_binder_AF2_80,IL7Ra,0,IL7Ra Watson et al,91.0,0.525,0.578,0.321,0.494,0.8,0.81,0.87,6.45,2.0,0.392,0.65,1.46,1.94,-42.68,-2.22,1918.97,0.53,0.52,0.19,1.0,0.59,-46.46,-2.35,1981.31,0.58,1005.488,46.939,9.0,49.0
IL7Ra_binder_AF2_85,IL7Ra,0,IL7Ra Watson et al,91.0,0.682,0.758,0.412,0.617,0.86,0.87,0.89,5.036,1.2,0.329,0.82,2.05,2.45,-52.5,-3.56,1474.77,0.74,0.65,0.17,6.0,0.71,-51.46,-3.31,1556.96,0.61,787.882,56.098,3.0,41.0
Insulin_receptor_binder_AF2_34,InsulinR,0,InsulinR Watson et al,88.0,0.578,0.632,0.356,0.586,0.81,0.82,0.88,5.544,2.1,0.327,0.634,2.22,2.47,-51.63,-2.63,1960.16,0.65,0.6,0.03,3.0,0.65,-60.52,-3.04,1991.16,0.61,1141.959,44.444,8.0,54.0
Insulin_receptor_binder_AF2_44,InsulinR,0,InsulinR Watson et al,65.0,0.313,0.439,0.2,0.387,0.63,0.71,0.83,7.191,2.9,0.13,0.521,3.62,4.26,-42.24,-2.9,1457.48,0.66,0.63,0.16,2.0,0.62,-42.3,-2.98,1419.36,0.56,778.944,40.476,4.0,42.0
Insulin_receptor_binder_AF2_51,InsulinR,0,InsulinR Watson et al,63.0,0.335,0.514,0.189,0.45,0.74,0.74,0.85,7.212,2.5,0.091,0.64,2.84,2.44,-41.26,-3.11,1326.19,0.73,0.63,0.19,3.0,0.61,-40.11,-3.28,1222.17,0.62,707.892,37.143,8.0,35.0
Insulin_receptor_binder_AF2_68,InsulinR,0,InsulinR Watson et al,65.0,0.635,0.756,0.384,0.646,0.85,0.87,0.9,4.639,1.3,0.16,0.866,3.89,4.31,-37.19,-2.93,1268.26,0.61,0.7,0.16,4.0,0.61,-31.81,-2.38,1337.82,0.65,699.45,47.5,6.0,40.0
Insulin_receptor_binder_AF2_82,InsulinR,0,InsulinR Watson et al,82.0,0.454,0.535,0.284,0.497,0.74,0.76,0.85,6.556,2.0,0.262,0.6,7.22,6.83,-50.39,-2.79,1809.15,0.68,0.59,0.15,7.0,0.72,-66.38,-3.32,1999.75,0.59,1093.217,36.364,10.0,55.0
Insulin_receptor_binder_AF2_95,InsulinR,0,InsulinR Watson et al,77.0,0.699,0.777,0.425,0.663,0.87,0.88,0.89,4.525,1.2,0.436,0.81,1.81,2.05,-56.18,-2.94,1909.34,0.61,0.62,0.19,6.0,0.68,-62.61,-2.81,2228.45,0.59,1239.535,35.484,10.0,62.0
Motif0003_bcov_4helix_11806_0001_0002_7942_0001,FGFR2,0,Cao et al FGFR2,65.0,0.091,0.132,0.027,0.18,0.41,0.51,0.68,11.546,25.0,0.139,0.097,17.33,12.46,-37.73,-2.41,1564.39,0.51,0.5,0.3,2.0,0.75,-71.13,-3.96,1794.57,0.65,870.613,51.111,0.0,45.0
Motif0004_HEEHE_1475_0001_1657_0001,FGFR2,0,Cao et al FGFR2,65.0,0.016,0.021,0.014,0.133,0.3,0.33,0.63,15.243,25.0,0.07,0.069,24.15,22.56,-37.76,-3.39,1112.93,0.69,0.61,0.14,2.0,0.76,-73.31,-4.11,1782.96,0.66,572.781,51.613,1.0,31.0
Motif0004_bcov_4helix_02964_0001_0002_8196_0001,FGFR2,0,Cao et al FGFR2,65.0,0.012,0.013,0.011,0.064,0.26,0.31,0.61,16.679,25.0,0.093,0.028,16.27,18.28,-27.52,-2.41,1141.13,0.54,0.57,0.24,1.0,0.79,-61.27,-3.75,1635.13,0.69,654.91,55.263,0.0,38.0
Motif0005_ems_ferrM_4235_0001_0001_7210_0001,FGFR2,0,Cao et al FGFR2,64.0,0.016,0.032,0.013,0.142,0.33,0.35,0.64,14.484,25.0,0.098,0.039,18.65,19.26,-43.89,-3.15,1395.51,0.73,0.67,0.28,0.0,0.75,-56.89,-3.98,1429.08,0.65,756.289,65.714,3.0,35.0
Motif0018_bcov_4helix_12111_0001_0001_2473_0001,FGFR2,0,Cao et al FGFR2,65.0,0.015,0.015,0.012,0.107,0.26,0.27,0.61,16.728,25.0,0.104,0.023,12.94,13.8,-36.42,-2.46,1482.8,0.56,0.61,0.37,1.0,0.79,-63.0,-3.82,1647.34,0.72,750.729,60.0,1.0,40.0
Motif0021_HEEHE_1695_0001_0003_3090_0001,FGFR2,0,Cao et al FGFR2,65.0,0.017,0.059,0.013,0.137,0.33,0.4,0.63,14.063,25.0,0.054,0.071,12.81,16.12,-27.2,-2.84,959.29,0.73,0.66,0.1,1.0,0.74,-68.61,-3.68,1865.42,0.63,576.868,59.375,0.0,32.0
Motif0029_ems_3hM_255_0001_0001,EGFR,0,Cao et al EGFR,61.0,0.014,0.015,0.012,0.115,0.42,0.45,0.8,13.595,25.0,0.132,0.07,26.87,24.79,-29.98,-2.26,1328.11,0.52,0.6,0.06,3.0,0.66,-54.82,-2.83,1937.45,0.71,562.295,45.161,2.0,31.0
Motif0037_bcov_4helix_06785_0001_8004_0001,FGFR2,0,Cao et al FGFR2,65.0,0.703,0.73,0.393,0.687,0.87,0.87,0.87,4.558,1.0,0.386,0.715,11.42,15.59,-47.45,-2.82,1682.05,0.6,0.49,0.18,3.0,0.76,-60.67,-3.48,1744.56,0.69,988.273,60.417,3.0,48.0
Motif0042_HHH_eva_0607_0001_2687_0001,FGFR2,0,Cao et al FGFR2,50.0,0.084,0.116,0.054,0.259,0.43,0.43,0.71,10.601,25.0,0.114,0.114,11.91,10.09,-37.34,-2.49,1500.87,0.57,0.66,0.16,3.0,0.75,-71.97,-3.88,1855.14,0.7,793.395,51.282,4.0,39.0
Motif0042_p1_16H_GBL_16H_GABBL_15H_0060_0001_0001_0002_0001_0001_2553_0001,FGFR2,0,Cao et al FGFR2,55.0,0.016,0.025,0.014,0.162,0.32,0.35,0.64,14.38,6.6,0.119,0.043,20.54,24.45,-26.15,-1.72,1524.71,0.48,0.6,0.16,3.0,0.74,-66.94,-3.49,1915.68,0.71,812.589,54.545,1.0,44.0
Motif0082_bcov_4helix_14490_0001_0001_8620_0001,FGFR2,0,Cao et al FGFR2,65.0,0.015,0.018,0.013,0.119,0.28,0.32,0.62,15.055,25.0,0.071,0.035,19.86,21.26,-29.98,-1.98,1511.81,0.59,0.48,0.18,3.0,0.7,-60.03,-3.67,1637.75,0.62,789.884,51.282,1.0,39.0
